play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,lateral_receiver_player_id,lateral_receiver_player_name,lateral_rusher_player_id,lateral_rusher_player_name,lateral_sack_player_id,lateral_sack_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv
35,2005010800,SEA,SL,SL,away,SEA,SEA,30,2005-01-08,900,1800,3600,Half1,0,1,0,1,NA,0,15:00,SEA 30,0,75,J.Brown kicks 66 yards from SEA 30 to SL 4. A.Cason to SL 25 for 21 yards (J.Babineaux).,kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.0015063265025897468,0.1797487862643072,0.006639108378448644,0.281137706070735,0.21370014348424918,0.0035923127788396836,0.3136756165208305,0,0,0.32352585361127617,0.4932522925497309,-0.4932522925497309,0.4932522925497309,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A.Cason,00-0019794,NA,NA,NA,NA,J.Brown,00-0021940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEA,NA,00-0022409,NA,J.Babineaux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SL,21,NA,NA,NA,NA,0,NA,NA,0,0,0,0
57,2005010800,SEA,SL,SL,away,SEA,SL,75,2005-01-08,894,1794,3594,Half1,0,1,0,1,1,0,14:54,SL 25,10,75,(14:54) M.Bulger pass to M.Faulk pushed ob at SL 25 for no gain (C.Brown).,pass,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0014072097893505068,0.16259047134888846,0.004439216715931144,0.2540567666046117,0.2331114003389158,0.003654677512209384,0.3407402576900929,0,0,0.8167781461610071,-0.7640076791424706,0.2707553865927397,-0.2707553865927397,0,0,0.7640076791424706,-0.7640076791424706,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.5004161193209601,0.4995838806790399,0.4995838806790399,0.5004161193209601,-0.02059672893889558,0.5201806096179356,0.4798193903820645,0,0,0.02059672893889558,-0.02059672893889558,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0019599,M.Bulger,00-0005092,M.Faulk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEA,NA,00-0001887,NA,C.Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
78,2005010800,SEA,SL,SL,away,SEA,SL,75,2005-01-08,866,1766,3566,Half1,0,1,0,1,2,0,14:26,SL 25,10,75,"(14:26) M.Bulger pass to M.Faulk to SL 37 for 12 yards (K.Hamlin, N.Koutouvides).",pass,12,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.001613564423621819,0.18843672102432468,0.00569421671161633,0.2948585548899859,0.2130993174201903,0.003980476645550707,0.29231714888471033,0,0,0.05277046701853649,1.8884041866160732,-1.6176488000233336,1.6176488000233336,0,0,-1.1243965074736026,1.1243965074736026,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.4798193903820645,0.5201806096179356,0.5201806096179356,0.4798193903820645,0.05835917798805551,0.46182143162988004,0.53817856837012,0,0,-0.03776244904915993,0.03776244904915993,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,00-0019599,M.Bulger,00-0005092,M.Faulk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0022049,K.Hamlin,SEA,00-0022710,N.Koutouvides,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
99,2005010800,SEA,SL,SL,away,SEA,SL,63,2005-01-08,824,1724,3524,Half1,0,1,0,1,1,0,13:44,SL 37,10,75,"(13:44) M.Bulger pass to T.Holt to SEA 11 for 52 yards (K.Lucas, M.Boulware).",pass,52,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.001440899418894788,0.12293492346035932,0.0016239615382743244,0.1912470328012194,0.2772504101571085,0.003662812427911959,0.4018399601962318,0,0,1.9411746536346097,2.695127904353903,-4.312776704377237,4.312776704377237,0,0,-3.819524411827506,3.819524411827506,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.53817856837012,0.46182143162988,0.46182143162988,0.53817856837012,0.07601413759244013,0.38580729403743985,0.6141927059625601,0,0,-0.11377658664160006,0.11377658664160006,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,00-0019599,M.Bulger,00-0007681,T.Holt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0020499,K.Lucas,SEA,00-0022784,M.Boulware,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
120,2005010800,SEA,SL,SL,away,SEA,SL,63,2005-01-08,787,1687,3487,Half1,0,1,0,1,NA,0,13:07,SL 37,0,75,Timeout #1 by SL at 13:07.,no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,SL,NA,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.636302557988513,0,-4.312776704377237,4.312776704377237,0,0,-3.819524411827506,3.819524411827506,NA,NA,0,0,0,0,0,0,0,0,0,0,0.6141927059625601,0.38580729403743985,0.38580729403743985,0.6141927059625601,0,0.38580729403743985,0.6141927059625601,0,0,-0.11377658664160006,0.11377658664160006,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
137,2005010800,SEA,SL,SL,away,SEA,SEA,11,2005-01-08,787,1687,3487,Half1,0,1,0,1,1,0,13:07,SEA 11,10,75,(13:07) M.Bulger sacked at SEA 16 for -5 yards (C.Okeafor).,pass,-5,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0,NA,NA,2,3,0,0,0,0,0,0,0,0,3.6655685311999574e-4,0.02478985732623002,1.4142209329391033e-5,0.03821814873984446,0.39137776481565445,0.0025081098545884518,0.5427254202012333,0,0,4.636302557988513,-0.6608522897153364,-3.6519244146619005,3.6519244146619005,0,0,-3.1586721221121694,3.1586721221121694,NA,NA,0,0,0,0,0,0,0,0,0,0,0.6141927059625601,0.38580729403743985,0.38580729403743985,0.6141927059625601,-0.02181053231970287,0.4076178263571427,0.5923821736428573,0,0,-0.0919660543218972,0.0919660543218972,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0019599,M.Bulger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0012333,C.Okeafor,NA,NA,00-0012333,C.Okeafor,NA,NA,NA,NA,NA,NA,NA,NA,SEA,NA,00-0012333,NA,C.Okeafor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
156,2005010800,SEA,SL,SL,away,SEA,SEA,16,2005-01-08,757,1657,3457,Half1,0,1,0,1,2,0,12:37,SEA 16,15,75,"(12:37) (Shotgun) S.Jackson right end to SEA 10 for 6 yards (M.Manuel, M.Trufant). SS #58 Kacyvenski injured on play, walks off field.",run,6,1,0,0,0,0,0,NA,NA,NA,NA,right,end,NA,NA,NA,NA,3,2,0,NA,NA,2,3,0,0,0,0,0,0,0,0,5.385871889693755e-4,0.03620987979547215,6.804336155221696e-5,0.05766767679243805,0.45912079266220523,0.0028475574904785793,0.44354746270888434,0,0,3.9754502682731765,-0.4524352386701711,-3.1994891759917294,3.1994891759917294,0.4524352386701711,-0.4524352386701711,-3.1586721221121694,3.1586721221121694,NA,NA,0,0,0,0,0,0,0,0,0,0,0.5923821736428573,0.4076178263571427,0.4076178263571427,0.5923821736428573,-0.013661583169469194,0.4212794095266119,0.5787205904733881,0.013661583169469194,-0.013661583169469194,-0.0919660543218972,0.0919660543218972,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,00-0022736,S.Jackson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0021096,M.Manuel,SEA,00-0022046,M.Trufant,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
181,2005010800,SEA,SL,SL,away,SEA,SEA,10,2005-01-08,711,1611,3411,Half1,0,1,0,1,3,0,11:51,SEA 10,9,75,"(11:51) PENALTY on SL-O.Pace, False Start, 5 yards, enforced at SEA 10 - No Play.",no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0,NA,NA,2,3,0,0,0,0,0,0,0,0,5.879010565776187e-4,0.032165192276075845,5.916947115083341e-5,0.05358150369482612,0.5958589465142882,0.0034216754430233935,0.31432561154405797,0,0,3.5230150296030054,-0.2601293312805124,-2.939359844711217,2.939359844711217,0.4524352386701711,-0.4524352386701711,-3.1586721221121694,3.1586721221121694,NA,NA,0,0,0,0,0,0,0,0,0,0,0.5787205904733881,0.4212794095266119,0.4212794095266119,0.5787205904733881,-0.009508774629297112,0.430788184155909,0.569211815844091,0.013661583169469194,-0.013661583169469194,-0.0919660543218972,0.0919660543218972,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SL,00-0012485,O.Pace,5,0,NA,False Start,0,0,0,0
204,2005010800,SEA,SL,SL,away,SEA,SEA,10,2005-01-08,696,1596,3396,Half1,0,1,0,1,NA,0,11:36,SEA 10,0,75,Timeout #2 by SL at 11:36.,no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,SL,NA,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.262885698322493,0,-2.939359844711217,2.939359844711217,0.4524352386701711,-0.4524352386701711,-3.1586721221121694,3.1586721221121694,NA,NA,0,0,0,0,0,0,0,0,0,0,0.55476569645497,0.44523430354503,0.44523430354503,0.55476569645497,0,0.44523430354503,0.55476569645497,0.013661583169469194,-0.013661583169469194,-0.0919660543218972,0.0919660543218972,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
221,2005010800,SEA,SL,SL,away,SEA,SEA,15,2005-01-08,696,1596,3396,Half1,0,1,1,1,3,0,11:36,SEA 15,14,75,"(11:36) M.Bulger pass to T.Holt for 15 yards, TOUCHDOWN. Play Challenged by SEA and Upheld. (Timeout #1 at 11:33.)",pass,15,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,SEA,SL,1,2,0,6,0,0,0,6,0,6,7.492122949360267e-4,0.04110676221248597,9.399177331000948e-5,0.06858670598118612,0.5849288019929499,0.004005435163979915,0.300529090581152,0,0,3.262885698322493,3.737114301677507,-6.676474146388724,6.676474146388724,0.4524352386701711,-0.4524352386701711,-6.895786423789676,6.895786423789676,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.569211815844091,0.430788184155909,0.430788184155909,0.569211815844091,0.13114233366552897,0.29964585049038006,0.7003541495096199,0.013661583169469194,-0.013661583169469194,-0.22310838798742616,0.22310838798742616,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0019599,M.Bulger,00-0007681,T.Holt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
